first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased,weekly_first_dose,weekly_second_dose,weekly_third_dose,weekly_fourth_dose
10/05/2020,16/05/2020,80+,זכר,2013,7,7,,,,
10/05/2020,16/05/2020,80+,נקבה,4639,7,7,,,,
10/05/2020,16/05/2020,80+,לא ידוע,7,0,0,,,,
17/05/2020,23/05/2020,0-19,זכר,2409,20,0,,,,
17/05/2020,23/05/2020,0-19,לא ידוע,7,0,0,,,,
17/05/2020,23/05/2020,0-19,נקבה,1957,21,0,,,,
17/05/2020,23/05/2020,20-24,זכר,1006,7,0,,,,
17/05/2020,23/05/2020,20-24,לא ידוע,7,0,0,,,,
17/05/2020,23/05/2020,20-24,נקבה,1197,7,0,,,,
17/05/2020,23/05/2020,25-29,זכר,1100,7,0,,,,
17/05/2020,23/05/2020,25-29,נקבה,1630,7,0,,,,
17/05/2020,23/05/2020,25-29,לא ידוע,7,0,0,,,,
17/05/2020,23/05/2020,30-34,זכר,1157,7,7,,,,
17/05/2020,23/05/2020,30-34,נקבה,1699,7,0,,,,
17/05/2020,23/05/2020,30-34,לא ידוע,7,0,0,,,,
17/05/2020,23/05/2020,35-39,זכר,1128,7,0,,,,
17/05/2020,23/05/2020,35-39,לא ידוע,7,0,0,,,,
17/05/2020,23/05/2020,35-39,נקבה,1594,7,0,,,,
17/05/2020,23/05/2020,40-44,לא ידוע,7,0,0,,,,
17/05/2020,23/05/2020,40-44,נקבה,1426,7,0,,,,
17/05/2020,23/05/2020,40-44,זכר,988,7,0,,,,
17/05/2020,23/05/2020,45-49,לא ידוע,7,0,0,,,,
17/05/2020,23/05/2020,45-49,נקבה,1047,7,0,,,,
17/05/2020,23/05/2020,45-49,זכר,801,7,0,,,,
17/05/2020,23/05/2020,50-54,זכר,666,7,0,,,,
